,file,Latitude,Longitude
,StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter
1,aguirre,40.4417888,-80.0008243
2,alexander,40.4107194,-79.9107295
3,anderson,40.4414745,-79.9967615
4,antolic,40.4107194,-79.9107295
5,astorino,40.446941,-80.0057054
6,bach,40.4417757,-79.9998775
7,bacon,40.4623255,-79.9249183
8,slagle2,40.7498783,-73.847013
9,barie,40.4605623,-79.9808294
10,bellan,40.4433215,-79.949974
11,bernabei,40.440545,-79.959626
12,club,40.4432106,-80.0048567
13,butler,40.447526,-79.9892008
14,calderone,40.4413056,-80.0010338
15,childhosp,40.4394953,-79.9611065
16,childinst,40.4485209,-79.9903821
17,commandaros,40.4368639,-80.0114429
18,cooley,40.4409603,-79.9974896
19,curry,40.24369,-79.238075
20,daugherty,40.4107194,-79.9107295
21,davis,40.4410742,-79.9949158
22,depaoli,40.4456122,-79.9163122
23,dill,40.4467648,-80.0157603
24,bill,40.438785,-79.99975
25,dolly,40.4415962,-80.0045896
26,donovan,40.4396419,-80.0033332
27,dupree,40.4480979,-80.0031396
28,ellis,40.4404528,-80.0003083
29,family,40.4422539,-80.0046339
30,farinacci,42.9872543,-87.8888015
31,fenton,40.4842648,-79.922206
32,foraxis,40.4415719,-80.0078538
33,frazee,40.4410742,-79.9949158
34,gealy,40.4342293,-80.0046505
35,geiger,40.4303142,-79.9997219
36,george,40.4415962,-80.0045896
37,foraxis2,40.4450201,-80.0122489
38,glover,40.4890485,-79.8956116
39,gotsch,40.4342293,-80.0046505
40,green,40.428754,-79.9864121
41,greiwe,40.4585426,-79.9289902
42,heinz,40.441792,-79.9983952
43,hill,40.4415962,-80.0045896
44,hogle,40.4107194,-79.9107295
45,howell,40.4419677,-80.0032376
46,karkowsky,40.4428983,-79.9524182
47,klein,40.4303142,-79.9997219
48,kline,40.4386579,-80.005149
49,klingler,40.4842648,-79.922206
50,klug,40.4395238,-79.9962286
51,kolitsky,40.464406,-79.9266958
52,lopez,40.4444343,-79.9945718
53,lotenero,40.4419045,-80.0053238
54,mackay,40.455458,-79.9752036
55,masters,40.4428983,-79.9524182
56,matthews,40.4444343,-79.9945718
57,bronze,40.4475719,-80.002528
58,mcclellan,40.4396419,-80.0033332
59,mclaughlin,40.446941,-80.0057054
60,mesae,40.4415719,-80.0078538
61,mesag,40.4396419,-80.0033332
62,morris1,40.4410742,-79.9949158
63,morris2,40.4483755,-80.0024907
64,morris3,40.446941,-80.0057054
65,ohara,40.4959744,-80.2454817
66,overby,42.9872543,-87.8888015
67,pantalone,40.438334,-79.9973065
68,parris,40.4415719,-80.0078538
69,phillips,40.4440519,-79.9502125
70,keating,40.4390115,-79.9479581
71,pedosaurus,40.4528353,-80.0064158
72,escalante,40.4379593,-79.9957332
73,pat,40.4410742,-79.9949158
74,rasmussen,40.4412198,-80.000496
75,robison,40.4572688,-79.9225714
76,models,40.4437189,-79.9797875
77,edmunds,42.9872543,-87.8888015
78,sandor,40.4340962,-79.9035703
79,seaman,40.4409236,-80.0045527
80,seldman,40.4568875,-79.9158704
81,shady,40.4410742,-79.9949158
82,shaler,40.528286,-79.9642889
83,slagle,40.4506415,-79.9355082
84,smith,40.4396419,-80.0033332
85,soich,40.4417888,-80.0008243
86,stanford,40.4428983,-79.9524182
87,aiken,40.4455472,-79.9962844
88,union,40.4424701,-80.0009554
89,urban,40.4440892,-79.9950649
90,urich,40.4414745,-79.9967615
91,washburn,40.4383265,-79.9990769
92,sparky,40.499238,-80.2203014
93,whittaker,40.4292923,-79.8107296
94,wilson,40.4208563,-80.0603442
95,winchester,40.4437052,-79.9489727
96,yee,40.4402338,-80.0016627
97,youss,40.4433215,-79.949974
98,zimmerman,40.4390115,-79.9479581
99,otoole,42.9872543,-87.8888015
100,duquesne,40.4367779,-79.9892761
